1 1 - VDD S - - -
2 2 - PC13 I/O TC - WKUP2,RTC_TAMP1,RTC_TS,RTC_OUT
3 3 - PC14-OSC32_IN(PC14) I/O TC - OSC32_IN
4 4 - PC15-OSC32_OUT(PC15) I/O TC - OSC32_OUT
5 5 2 PF0-OSC_IN(PF0) I/O FT - I2C1_SDA,OSC_IN
6 6 3 PF1-OSC_OUT(PF1) I/O FT - I2C1_SCL,OSC_OUT
7 7 4 NRST I/O RST - -
8 - - PC0 I/O TTa - EVENTOUT,ADC_IN10
9 - - PC1 I/O TTa - EVENTOUT,ADC_IN11
10 - - PC2 I/O TTa - SPI2_MISO,EVENTOUT,ADC_IN12
11 - - PC3 I/O TTa - SPI2_MOSI,EVENTOUT,ADC_IN13
12 8 - VSSA S - - -
13 9 5 VDDA S - - -
14 10 6 PA0 I/O TTa (4) USART2_CTS,USART4_TX,RTC_TAMP2,WKUP1,ADC_IN0
15 11 7 PA1 I/O TTa (4) USART2_RTS,TIM15_CH1N,USART4_RX,EVENTOUT,ADC_IN1
16 12 8 PA2 I/O TTa (4) USART2_TX,TIM15_CH1 ADC_IN2,WKUP4
17 13 9 PA3 I/O TTa (4) USART2_RX,TIM15_CH2 ADC_IN3
18 - - VSS S - - -
19 - - VDD S - - -
20 14 10 PA4 I/O TTa - SPI1_NSS,TIM14_CH1,USART2_CK,USB_NOE,ADC_IN4
21 15 11 PA5 I/O TTa - SPI1_SCK,ADC_IN5
22 16 12 PA6 I/O TTa (4) SPI1_MISO,TIM3_CH1,TIM1_BKIN,TIM16_CH1,EVENTOUT,USART3_CTS,ADC_IN6
23 17 13 PA7 I/O TTa - SPI1_MOSI,TIM3_CH2,TIM14_CH1,TIM1_CH1N,TIM17_CH1,EVENTOUT,ADC_IN7
24 - - PC4 I/O TTa (4) EVENTOUT,USART3_TX,ADC_IN14
25 - - PC5 I/O TTa (4) USART3_RX,ADC_IN15,WKUP5
26 18 - PB0 I/O TTa (4) TIM3_CH3,TIM1_CH2N,EVENTOUT,USART3_CK,ADC_IN8
27 19 14 PB1 I/O TTa (4) TIM3_CH4,USART3_RTS,TIM14_CH1,TIM1_CH3N,ADC_IN9
28 20 - PB2 I/O FT - - -
29 21 - PB10 I/O FT (4) SPI2_SCK,USART3_TX
30 22 - PB11 I/O FT (4) USART3_RX,EVENTOUT,I2C2_SDA
31 23 15 VSS S - - 
32 24 16 VDD S - -
33 25 - PB12 I/O FT (4) TIM1_BKIN,TIM15_BKIN,SPI2_NSS,EVENTOUT,USART3_CK
34 26 - PB13 I/O FTf (4) SPI2_SCK,I2C2_SCL,TIM1_CH1N,USART3_CTS
35 27 - PB14 I/O FTf (4) SPI2_MISO,I2C2_SDA,TIM1_CH2N,TIM15_CH1,USART3_RTS
36 28 - PB15 I/O FT (4) SPI2_MOSI,TIM1_CH3N,TIM15_CH1N,TIM15_CH2,WKUP7,RTC_REFIN
37 - - PC6 I/O FT - TIM3_CH1
38 - - PC7 I/O FT - TIM3_CH2
39 - - PC8 I/O FT - TIM3_CH3
40 - - PC9 I/O FT - TIM3_CH4
41 29 - PA8 I/O FT - USART1_CK,TIM1_CH1,EVENTOUT,MCO
42 30 17 PA9 I/O FT (4) USART1_TX,TIM1_CH2,TIM15_BKIN,I2C1_SCL
43 31 18 PA10 I/O FT - USART1_RX,TIM1_CH3,TIM17_BKIN,I2C1_SDA
44 32 17(5) PA11 I/O FT - USART1_CTS,TIM1_CH4,EVENTOUT,USB_DM
45 33 18(5) PA12 I/O FT - USART1_RTS,TIM1_ETR,EVENTOUT,USB_DP
46 34 19 PA13 I/O FT (6) IR_OUT,SWDIO,USB_NOE
47 35 - VSS S - -
48 36 - VDD S - -
49 37 20 PA14 I/O FT - USART2_TX,SWCLK
50 38 - PA15 I/O FT (4) SPI1_NSS,USART2_RX,USART4_RTS,EVENTOUT
51 - - PC10 I/O FT (4) USART3_TX,USART4_TX
52 - - PC11 I/O FT (4) USART3_RX,USART4_RX
53 - - PC12 I/O FT (4) USART3_CK,USART4_CK
54 - - PD2 I/O FT (4) TIM3_ETR,USART3_RTS
55 39 - PB3 I/O FT - SPI1_SCK,EVENTOUT
56 40 - PB4 I/O FT - SPI1_MISO,TIM17_BKIN,TIM3_CH1,EVENTOUT
57 41 - PB5 I/O FT (4) SPI1_MOSI,I2C1_SMBA,TIM16_BKIN,TIM3_CH2,WKUP6
58 42 - PB6 I/O FTf - I2C1_SCL,USART1_TX,TIM16_CH1N
59 43 - PB7 I/O FTf (4) I2C1_SDA,USART1_RX,USART4_CTS,TIM17_CH1N
60 44 1 BOOT0 I B -
61 45 - PB8 I/O FTf - I2C1_SCL,TIM16_CH1
62 46 - PB9 I/O FTf (4) SPI2_NSS,I2C1_SDA,IR_OUT,TIM17_CH1,EVENTOUT
63 47 - VSS S - -
64 48 - VDD S - -
